DyadNr;Side;Age;Gender;Image;Knowing;Enjoying;ImproForms;Instrument;miscellaneous ;
75;r;35;m;yellow;2;5;no;no;;
76;l;60;f;black;4;5;60;no;;
76;r;26;m;black;7;6;10;no;;
77;l;34;m;blue;7;1;15;no;;
77;r;33;f;blue;7;5;no;no;;
78;l;3;na;black;7;na;no;no;;
78;r;3;na;black;7;na;no;no;;
79;l;28;f;yellow;6;7;no;no;;
79;r;29;m;blue;7;6;no;no;;
80;l;34;m;brown;1;6;no;no;;
80;r;73;f;brown;1;7;12;no;;
81;l;28;f;yellow;4;6;na;na;;
81;r;27;f;blue;7;6;no;5;;
82;l;38;f;brown;7;7;no;no;;
82;r;7;na;black;7;7;no;no;;
83;l;33;f;yellow;7;5;no;no;;
83;r;29;m;yellow;7;7;1;2;;
84;l;34;m;brown;5;3;no;no;;
84;r;33;f;black;5;4;no;na;;
85;l;32;f;yellow;1;6;no;4;;
85;r;40;f;yellow;1;7;no;no;;
86;l;24;f;black;6;7;7;15;;
86;r;26;f;brown;6;7;2;3;;
87;l;55;f;blue;7;7;na;na;;
87;r;58;m;yellow;7;5;no;no;;
88;l;27;m;black;7;6;no;no;;
88;r;26;f;brown;7;7;no;no;;
89;l;26;f;blue;7;3;no;2;;
89;r;27;m;yellow;7;7;1.5;3.5;;
90;l;8;m;black;5;7;3;5;;
90;r;12;f;black;5;6;no;no;;
91;l;58;m;blue;6;6;no;no;;
91;r;12;f;yellow;3;4;no;6;;
92;l;24;f;black;7;5;no;10;;
92;r;23;m;brown;7;5;no;no;;
93;l;26;m;blue;7;7;no;no;;
93;r;27;f;blue;7;7;1;7;;
94;l;26;f;black;6;5;no;no;;
94;r;26;f;black;6;5;no;no;;
95;l;40;f;blue;7;7;no;no;;
95;r;31;m;yellow;6;5;no;no;;
96;l;29;f;black;5;4;no;no;;
96;r;35;m;brown;5;2;no;no;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
